Retention Time (min),Van der Waals Radius (pm),HOMO Energy (eV),LUMO Energy (eV),Redox Potential (V),Molecular Weight (g/mol),Polarizability,pKa,Number of Benzene Rings
5.57,209.0,-5.41,-1.89,-0.49,192.7,6.75,6.07,1
3.45,159.4,-9.26,0.02,-0.4,287.9,8.85,5.67,2
14.1,205.3,-8.65,0.3,0.29,455.5,3.48,12.96,4
15.84,202.7,-5.6,-0.38,-0.63,543.6,1.91,2.62,4
7.15,184.2,-5.99,0.8,-0.8,265.2,6.14,6.64,2
8.78,226.9,-8.61,-2.88,-1.18,195.5,5.73,6.8,1
16.07,187.4,-8.2,-2.04,0.88,395.9,1.55,10.4,3
1.31,186.7,-6.7,1.83,1.07,196.9,9.41,6.1,1
7.32,146.2,-10.63,-0.51,0.43,146.6,5.75,12.09,1
6.84,239.7,-8.8,-2.62,-1.06,329.8,7.4,9.38,2
11.33,177.6,-9.76,-1.46,0.78,389.4,4.61,13.03,3
18.0,158.8,-7.89,-2.99,-1.37,258.9,1.31,3.67,2
1.77,181.2,-6.37,-0.1,1.51,249.0,8.89,11.37,2
17.01,121.8,-10.22,2.0,-0.21,417.9,1.27,1.63,4
11.59,139.8,-5.08,-0.05,-0.1,391.9,3.37,11.23,3
12.17,146.0,-8.2,0.05,-1.18,317.6,4.42,11.88,2
19.18,177.3,-6.36,-1.36,0.46,463.9,0.38,5.69,4
3.44,204.3,-8.89,-1.81,1.94,537.4,9.08,9.8,4
6.26,143.1,-8.07,-0.46,0.36,219.7,7.44,13.56,2
5.37,120.4,-5.21,1.5,0.61,273.7,8.21,2.59,2
9.91,183.9,-6.86,-2.95,-0.85,196.7,5.99,8.65,1
12.02,228.2,-10.85,-0.15,-0.7,385.9,4.13,0.66,3
14.83,162.7,-9.61,-0.86,-1.21,433.5,2.99,4.74,3
2.01,171.4,-9.44,0.11,0.06,502.9,9.04,1.98,4
9.1,143.4,-5.25,1.2,-1.41,423.9,5.86,7.51,3
18.56,221.3,-6.38,-0.75,0.47,299.7,0.77,8.45,2
9.79,118.1,-6.93,-1.91,-0.14,252.3,5.31,13.85,2
16.53,125.7,-10.58,-1.12,0.5,341.6,1.92,13.54,3
